src_user,window_id,eligible_25,prior_active_all,prior_active_7d,first_active_observation,exclusion_reason
U1723@DOM1,1626,1,181,181,False,
U1723@DOM1,1632,1,186,186,False,
U1723@DOM1,1639,1,192,192,False,
U1723@DOM1,3566,1,483,332,False,
U1723@DOM1,3605,1,518,347,False,
U1789@DOM1,3595,1,12,8,False,
U207@DOM1,3583,1,1391,686,False,
U207@DOM1,3589,1,1393,684,False,
U20@DOM1,3586,1,3530,1994,False,
U212@DOM1,2423,1,765,581,False,
U212@DOM1,2424,1,766,582,False,
U212@DOM1,2425,1,767,583,False,
U212@DOM1,7653,1,3052,656,False,
U218@DOM1,2576,1,639,494,False,
U218@DOM1,2581,1,640,494,False,
U218@DOM1,3575,1,867,538,False,
U218@DOM1,3581,1,871,539,False,
U218@DOM1,3590,1,879,544,False,
U2231@DOM1,3648,1,409,232,False,
U2231@DOM1,3650,1,411,234,False,
U2231@DOM1,3654,1,415,238,False,
U227@DOM1,4181,1,1932,933,False,
U24@DOM1,3925,1,3925,2016,False,
U24@DOM1,3926,1,3926,2016,False,
U24@DOM1,3927,1,3927,2016,False,
U24@DOM1,4518,1,4516,2014,False,
U250@DOM1,2463,1,1998,1688,False,
U2575@DOM1,2493,1,514,431,False,
U2575@DOM1,2494,1,515,431,False,
U2575@DOM1,2501,1,521,434,False,
U2575@DOM1,2509,1,525,437,False,
U2575@DOM1,2515,1,527,438,False,
U2575@DOM1,3567,1,771,517,False,
U2575@DOM1,3574,1,772,518,False,
U2575@DOM1,3654,1,793,515,False,
U2575@DOM1,3888,1,872,530,False,
U2575@DOM1,3915,1,894,542,False,
U2758@DOM1,3908,1,409,185,False,
U2837@DOM1,2455,1,93,70,False,
U2837@DOM1,2456,1,94,71,False,
U2837@DOM1,2457,1,95,72,False,
U2837@DOM1,2557,1,104,81,False,
U288@DOM1,2438,1,754,622,False,
U293@DOM1,2419,1,1432,1225,False,
U293@DOM1,2420,1,1433,1225,False,
U293@DOM1,2421,1,1434,1225,False,
U293@DOM1,2423,1,1436,1226,False,
U293@DOM1,2461,1,1465,1226,False,
U293@DOM1,2462,1,1466,1226,False,
U293@DOM1,2463,1,1467,1226,False,
U293@DOM1,2464,1,1468,1226,False,
U293@DOM1,2547,1,1526,1221,False,
U293@DOM1,2548,1,1527,1221,False,
U293@DOM1,2549,1,1528,1221,False,
U293@DOM1,2550,1,1529,1221,False,
U293@DOM1,2551,1,1530,1221,False,
U293@DOM1,2552,1,1531,1221,False,
U293@DOM1,2553,1,1532,1221,False,
U293@DOM1,7654,1,4659,1088,False,
U3005@DOM1,3623,1,876,557,False,
U3005@DOM1,3626,1,877,555,False,
U3005@DOM1,3628,1,878,554,False,
U3005@DOM1,3630,1,880,554,False,
U3005@DOM1,3631,1,881,554,False,
U3005@DOM1,3632,1,882,554,False,
U3005@DOM1,3640,1,885,551,False,
U3005@DOM1,3651,1,888,544,False,
U3005@DOM1,3652,1,889,544,False,
U3005@DOM1,3653,1,890,544,False,
U3005@DOM1,3654,1,891,545,False,
U3005@DOM1,3663,1,898,549,False,
U3005@DOM1,3873,1,965,530,False,
U3005@DOM1,3904,1,982,533,False,
U3005@DOM1,3926,1,994,538,False,
U3005@DOM1,3929,1,997,541,False,
U3005@DOM1,7672,1,1942,509,False,
U3005@DOM1,7676,1,1943,510,False,
U3005@DOM1,7677,1,1944,511,False,
U3005@DOM1,7678,1,1945,512,False,
U314@DOM1,2516,1,1043,829,False,
U314@DOM1,2553,1,1057,828,False,
U3206@DOM1,4154,1,590,328,False,
U3277@C2519,3575,1,12,9,False,
U3406@DOM1,7678,1,4690,1313,False,
U342@DOM1,2501,1,1875,1562,False,
U342@DOM1,2534,1,1905,1573,False,
U342@DOM1,2535,1,1906,1574,False,
U342@DOM1,2536,1,1907,1574,False,
U342@DOM1,2537,1,1908,1575,False,
U342@DOM1,3568,1,2558,1512,False,
U342@DOM1,3575,1,2565,1512,False,
U342@DOM1,3576,1,2566,1512,False,
U342@DOM1,7672,1,4513,808,False,
U3486@DOM1,3641,1,835,478,False,
U3486@DOM1,3645,1,839,481,False,
U349@DOM1,2456,1,662,509,False,
U349@DOM1,2469,1,668,506,False,
U349@DOM1,2471,1,669,506,False,
U3549@DOM1,3936,1,363,243,False,
U3549@DOM1,3938,1,365,245,False,
U3549@DOM1,3939,1,366,246,False,
U3549@DOM1,3940,1,367,247,False,
U3549@DOM1,4170,1,392,229,False,
U3549@DOM1,4171,1,393,230,False,
U3549@DOM1,4178,1,398,233,False,
U3549@DOM1,4184,1,403,237,False,
U3575@DOM1,4152,1,296,157,False,
U3635@DOM1,2531,1,447,346,False,
U3635@DOM1,2533,1,449,348,False,
U3635@DOM1,2536,1,452,351,False,
U3635@DOM1,2537,1,453,352,False,
U3635@DOM1,2538,1,454,353,False,
U3635@DOM1,2540,1,456,355,False,
U3635@DOM1,2541,1,457,356,False,
U3635@DOM1,2542,1,458,357,False,
U3635@DOM1,2545,1,461,360,False,
U3635@DOM1,3567,1,549,338,False,
U3635@DOM1,3621,1,577,345,False,
U3635@DOM1,3909,1,669,369,False,
U3635@DOM1,3927,1,687,371,False,
U3718@DOM1,2499,1,688,509,False,
U3718@DOM1,8205,1,2355,599,False,
U374@DOM1,2493,1,466,341,False,
U374@DOM1,2494,1,467,341,False,
U374@DOM1,7900,1,1310,373,False,
U3764@DOM1,6174,1,566,144,False,
U3905@DOM1,2429,1,533,431,False,
U4112@DOM1,2577,1,192,125,False,
U4112@DOM1,3567,1,207,103,False,
U415@DOM1,3590,1,613,316,False,
U415@DOM1,3593,1,616,316,False,
U415@DOM1,4532,1,753,173,False,
U415@DOM1,4544,1,756,176,False,
U4353@DOM1,2470,1,558,461,False,
U4353@DOM1,2558,1,589,479,False,
U4353@DOM1,2559,1,590,480,False,
U4353@DOM1,2560,1,591,481,False,
U4353@DOM1,2561,1,592,482,False,
U4353@DOM1,2562,1,593,483,False,
U4448@DOM1,2568,1,801,624,False,
U4448@DOM1,2570,1,803,626,False,
U4448@DOM1,2571,1,804,627,False,
U4448@DOM1,2572,1,805,628,False,
U4448@DOM1,3566,1,1002,550,False,
U4448@DOM1,3579,1,1005,547,False,
U4448@DOM1,3645,1,1041,557,False,
U4448@DOM1,3646,1,1042,558,False,
U4448@DOM1,3932,1,1161,581,False,
U4448@DOM1,7685,1,2005,557,False,
U453@DOM1,3583,1,1772,1064,False,
U453@DOM1,3589,1,1778,1064,False,
U4856@DOM1,2473,1,1139,779,False,
U4978@DOM1,2427,1,477,408,False,
U4978@DOM1,2577,1,531,414,False,
U4978@DOM1,7658,1,1621,450,False,
U4978@DOM1,7880,1,1668,454,False,
U5087@DOM1,2476,1,307,225,False,
U5087@DOM1,2477,1,308,225,False,
U5087@DOM1,2478,1,309,226,False,
U5087@DOM1,2480,1,310,227,False,
U5087@DOM1,7658,1,1025,340,False,
U5087@DOM1,7683,1,1040,354,False,
U524@DOM1,4539,1,1272,556,False,
U524@DOM1,4540,1,1273,557,False,
U5254@DOM1,2562,1,769,576,False,
U5254@DOM1,2563,1,770,577,False,
U5254@DOM1,3567,1,974,599,False,
U6115@DOM1,506,1,91,91,False,
U620@DOM1,502,1,89,89,False,
U636@DOM1,512,1,78,78,False,
U636@DOM1,1621,1,285,285,False,
U642@DOM1,2525,1,763,570,False,
U655@DOM1,3931,1,651,428,False,
U655@DOM1,8508,1,1240,223,False,
U6572@DOM1,2508,1,739,641,False,
U6572@DOM1,7689,1,1929,356,False,
U6691@DOM1,3605,1,686,227,False,
U66@DOM1,2555,1,2555,2016,False,
U66@DOM1,2556,1,2556,2016,False,
U66@DOM1,2557,1,2557,2016,False,
U66@DOM1,2559,1,2559,2016,False,
U66@DOM1,2561,1,2561,2016,False,
U66@DOM1,2562,1,2562,2016,False,
U66@DOM1,2563,1,2563,2016,False,
U66@DOM1,2564,1,2564,2016,False,
U66@DOM1,2565,1,2565,2016,False,
U66@DOM1,2566,1,2566,2016,False,
U66@DOM1,2568,1,2568,2016,False,
U66@DOM1,2569,1,2569,2016,False,
U66@DOM1,2574,1,2574,2016,False,
U66@DOM1,2575,1,2575,2016,False,
U66@DOM1,2576,1,2576,2016,False,
U66@DOM1,2579,1,2579,2016,False,
U66@DOM1,2580,1,2580,2016,False,
U66@DOM1,2581,1,2581,2016,False,
U66@DOM1,3554,1,3554,2016,False,
U66@DOM1,3555,1,3555,2016,False,
U66@DOM1,3561,1,3561,2016,False,
U66@DOM1,3562,1,3562,2016,False,
U66@DOM1,3563,1,3563,2016,False,
U66@DOM1,3566,1,3566,2016,False,
U66@DOM1,3567,1,3567,2016,False,
U66@DOM1,3570,1,3570,2016,False,
U66@DOM1,3574,1,3574,2016,False,
U66@DOM1,3575,1,3575,2016,False,
U66@DOM1,3576,1,3576,2016,False,
U66@DOM1,3577,1,3577,2016,False,
U66@DOM1,3579,1,3579,2016,False,
U66@DOM1,3580,1,3580,2016,False,
U66@DOM1,3581,1,3581,2016,False,
U66@DOM1,3582,1,3582,2016,False,
U66@DOM1,3583,1,3583,2016,False,
U66@DOM1,3584,1,3584,2016,False,
U66@DOM1,3585,1,3585,2016,False,
U66@DOM1,3586,1,3586,2016,False,
U66@DOM1,3587,1,3587,2016,False,
U66@DOM1,3590,1,3590,2016,False,
U66@DOM1,3593,1,3593,2016,False,
U66@DOM1,3599,1,3599,2016,False,
U66@DOM1,3600,1,3600,2016,False,
U66@DOM1,3601,1,3601,2016,False,
U66@DOM1,3603,1,3603,2016,False,
U66@DOM1,3607,1,3607,2016,False,
U66@DOM1,3877,1,3877,2016,False,
U66@DOM1,3883,1,3883,2016,False,
U66@DOM1,3886,1,3886,2016,False,
U66@DOM1,3887,1,3887,2016,False,
U66@DOM1,3891,1,3891,2016,False,
U66@DOM1,3892,1,3892,2016,False,
U66@DOM1,3893,1,3893,2016,False,
U66@DOM1,3927,1,3927,2016,False,
U66@DOM1,3932,1,3932,2016,False,
U66@DOM1,6159,1,6159,2016,False,
U66@DOM1,7682,1,7682,2016,False,
U66@DOM1,7891,1,7891,2016,False,
U66@DOM1,7900,1,7900,2016,False,
U66@DOM1,7907,1,7907,2016,False,
U66@DOM1,7908,1,7908,2016,False,
U6764@DOM1,3593,1,177,126,False,
U679@DOM1,4507,1,2814,1396,False,
U679@DOM1,4520,1,2827,1396,False,
U7004@C2519,3579,1,9,9,False,
U7311@DOM1,4527,1,83,15,False,
U7311@DOM1,4528,1,84,16,False,
U7375@DOM1,2567,1,252,251,False,
U7375@DOM1,2568,1,253,252,False,
U7375@DOM1,2569,1,254,253,False,
U7375@DOM1,2570,1,255,254,False,
U737@C10,3889,0,0,0,True,first active observation
U737@DOM1,1548,1,175,175,False,
U737@DOM1,1553,1,179,179,False,
U737@DOM1,1928,1,381,381,False,
U737@DOM1,1948,1,394,394,False,
U737@DOM1,2116,1,460,456,False,
U737@DOM1,2504,1,655,631,False,
U737@DOM1,2506,1,657,633,False,
U737@DOM1,2508,1,659,635,False,
U737@DOM1,2517,1,668,642,False,
U737@DOM1,2520,1,671,645,False,
U737@DOM1,2524,1,675,649,False,
U737@DOM1,2528,1,679,653,False,
U737@DOM1,2529,1,680,654,False,
U737@DOM1,2567,1,695,664,False,
U737@DOM1,3631,1,951,716,False,
U737@DOM1,3884,1,1018,664,False,
U737@DOM1,3922,1,1047,681,False,
U737@DOM1,3925,1,1050,682,False,
U737@DOM1,4427,1,1177,582,False,
U737@DOM1,5860,1,1350,340,False,
U737@DOM1,6439,1,1607,432,False,
U737@DOM1,7690,1,2005,666,False,
U737@DOM1,7946,1,2072,669,False,
U737@DOM1,8227,1,2158,637,False,
U737@DOM1,8453,1,2252,647,False,
U737@DOM1,8500,1,2281,637,False,
U737@DOM1,8501,1,2282,637,False,
U737@DOM1,8504,1,2285,637,False,
U737@DOM1,8505,1,2286,637,False,
U737@DOM1,8523,1,2303,639,False,
U7394@DOM1,2557,1,37,32,False,
U748@DOM1,503,1,218,218,False,
U748@DOM1,505,1,220,220,False,
U748@DOM1,517,1,232,232,False,
U748@DOM1,518,1,233,233,False,
U748@DOM1,522,1,236,236,False,
U748@DOM1,700,1,302,302,False,
U748@DOM1,701,1,303,303,False,
U748@DOM1,728,1,321,321,False,
U748@DOM1,756,1,343,343,False,
U748@DOM1,758,1,345,345,False,
U748@DOM1,759,1,346,346,False,
U748@DOM1,760,1,347,347,False,
U748@DOM1,782,1,362,362,False,
U748@DOM1,1533,1,570,570,False,
U748@DOM1,1535,1,572,572,False,
U748@DOM1,1536,1,573,573,False,
U748@DOM1,1539,1,574,574,False,
U748@DOM1,1544,1,578,578,False,
U748@DOM1,1547,1,580,580,False,
U7507@DOM1,3590,1,223,128,False,
U7507@DOM1,3601,1,227,130,False,
U7507@DOM1,3664,1,245,136,False,
U7507@DOM1,3666,1,246,137,False,
U7507@DOM1,3667,1,247,138,False,
U7507@DOM1,3671,1,248,139,False,
U7507@DOM1,3878,1,263,135,False,
U7507@DOM1,3931,1,282,138,False,
U7507@DOM1,4532,1,366,170,False,
U7594@DOM1,4145,1,699,368,False,
U7761@C2519,3576,0,0,0,True,first active observation
U7761@C2519,3579,1,1,1,False,
U78@DOM1,3622,1,3493,1943,False,
U795@DOM1,2480,1,851,707,False,
U795@DOM1,7683,1,2276,424,False,
U8168@C19038,4111,0,0,0,True,first active observation
U8168@C685,4505,0,0,0,True,first active observation
U8168@C685,4506,1,1,1,False,
U8170@DOM1,3947,1,9,7,False,
U8170@DOM1,3948,1,10,8,False,
U8170@DOM1,4141,1,13,11,False,
U8170@DOM1,4538,1,14,8,False,
U825@DOM1,1948,1,362,362,False,
U825@DOM1,4137,1,759,362,False,
U8601@DOM1,2423,1,318,317,False,
U8601@DOM1,2434,1,324,323,False,
U8601@DOM1,2435,1,325,324,False,
U8601@DOM1,2436,1,326,325,False,
U8601@DOM1,2437,1,327,326,False,
U8601@DOM1,2459,1,330,329,False,
U8601@DOM1,2470,1,334,333,False,
U8601@DOM1,2563,1,350,349,False,
U8601@DOM1,3635,1,657,586,False,
U8601@DOM1,3636,1,658,586,False,
U8601@DOM1,7654,1,1772,638,False,
U86@C10,3890,0,0,0,True,first active observation
U86@DOM1,3933,1,2171,1047,False,
U86@DOM1,3946,1,2184,1051,False,
U86@DOM1,3948,1,2186,1052,False,
U86@DOM1,3949,1,2187,1052,False,
U86@DOM1,4427,1,2492,1091,False,
U86@DOM1,4428,1,2493,1092,False,
U8777@C1500,2490,0,0,0,True,first active observation
U8777@C1500,4517,0,1,0,False,no active history in previous 7 days
U8777@C3388,2491,0,0,0,True,first active observation
U8777@C3388,4512,0,1,0,False,no active history in previous 7 days
U8777@C3388,4513,1,2,1,False,
U8777@C3388,4516,1,3,2,False,
U8777@C583,2487,0,0,0,True,first active observation
U8777@C583,2490,1,1,1,False,
U8777@C583,7884,0,2,0,False,no active history in previous 7 days
U8777@DOM1,4155,1,593,416,False,
U882@DOM1,2487,1,876,646,False,
U882@DOM1,2488,1,877,647,False,
U8840@DOM1,4542,1,39,27,False,
U8946@DOM1,2420,1,287,287,False,
U8946@DOM1,2421,1,288,288,False,
U8946@DOM1,2423,1,290,290,False,
U8946@DOM1,2425,1,292,292,False,
U8946@DOM1,2426,1,293,293,False,
U8946@DOM1,2427,1,294,294,False,
U8946@DOM1,2457,1,316,316,False,
U8946@DOM1,2459,1,318,318,False,
U8946@DOM1,4111,1,695,510,False,
U9263@DOM1,3585,1,442,420,False,
U9263@DOM1,3632,1,489,437,False,
U9263@DOM1,3633,1,490,437,False,
U9263@DOM1,3876,1,727,622,False,
U9263@DOM1,3877,1,728,622,False,
U9263@DOM1,3929,1,779,623,False,
U9263@DOM1,8508,1,2354,852,False,
U9407@DOM1,3916,1,1640,1303,False,
U9763@DOM1,2479,1,9,9,False,
U9763@DOM1,2510,1,10,10,False,
U9763@DOM1,2567,1,11,11,False,
U9763@DOM1,2571,1,12,12,False,
U9947@DOM1,2483,1,283,283,False,
U9947@DOM1,2485,1,285,285,False,
U9947@DOM1,2486,1,286,286,False,
U9947@DOM1,2488,1,288,288,False,
U9947@DOM1,2489,1,289,289,False,
U9947@DOM1,2490,1,290,290,False,
U9947@DOM1,2491,1,291,291,False,
U9947@DOM1,2496,1,296,296,False,
U9947@DOM1,2499,1,299,299,False,
U995@DOM1,2430,1,646,601,False,
U995@DOM1,2562,1,689,606,False,
U995@DOM1,7679,1,1661,281,False,
